occurrences,severity_bps,confidence_bps,true_positive,false_positive,true_negative,false_negative,precision,recall,f1
1,5000,5000,8,5,3,0,0.6153846153846154,1.0,0.761904761904762
1,5000,7000,8,3,5,0,0.7272727272727273,1.0,0.8421052631578948
1,5000,8000,7,1,7,1,0.875,0.875,0.875
1,5000,9000,4,0,8,4,1.0,0.5,0.6666666666666666
1,7000,5000,8,3,5,0,0.7272727272727273,1.0,0.8421052631578948
1,7000,7000,8,2,6,0,0.8,1.0,0.888888888888889
1,7000,8000,7,0,8,1,1.0,0.875,0.9333333333333333
1,7000,9000,4,0,8,4,1.0,0.5,0.6666666666666666
1,8000,5000,7,1,7,1,0.875,0.875,0.875
1,8000,7000,7,0,8,1,1.0,0.875,0.9333333333333333
1,8000,8000,6,0,8,2,1.0,0.75,0.8571428571428571
1,8000,9000,3,0,8,5,1.0,0.375,0.5454545454545454
1,9000,5000,4,0,8,4,1.0,0.5,0.6666666666666666
1,9000,7000,4,0,8,4,1.0,0.5,0.6666666666666666
1,9000,8000,3,0,8,5,1.0,0.375,0.5454545454545454
1,9000,9000,2,0,8,6,1.0,0.25,0.4
2,5000,5000,8,5,3,0,0.6153846153846154,1.0,0.761904761904762
2,5000,7000,8,3,5,0,0.7272727272727273,1.0,0.8421052631578948
2,5000,8000,7,1,7,1,0.875,0.875,0.875
2,5000,9000,4,0,8,4,1.0,0.5,0.6666666666666666
2,7000,5000,8,3,5,0,0.7272727272727273,1.0,0.8421052631578948
2,7000,7000,8,2,6,0,0.8,1.0,0.888888888888889
2,7000,8000,7,0,8,1,1.0,0.875,0.9333333333333333
2,7000,9000,4,0,8,4,1.0,0.5,0.6666666666666666
2,8000,5000,7,1,7,1,0.875,0.875,0.875
2,8000,7000,7,0,8,1,1.0,0.875,0.9333333333333333
2,8000,8000,6,0,8,2,1.0,0.75,0.8571428571428571
2,8000,9000,3,0,8,5,1.0,0.375,0.5454545454545454
2,9000,5000,4,0,8,4,1.0,0.5,0.6666666666666666
2,9000,7000,4,0,8,4,1.0,0.5,0.6666666666666666
2,9000,8000,3,0,8,5,1.0,0.375,0.5454545454545454
2,9000,9000,2,0,8,6,1.0,0.25,0.4
3,5000,5000,6,3,5,2,0.6666666666666666,0.75,0.7058823529411765
3,5000,7000,6,2,6,2,0.75,0.75,0.75
3,5000,8000,5,1,7,3,0.8333333333333334,0.625,0.7142857142857143
3,5000,9000,3,0,8,5,1.0,0.375,0.5454545454545454
3,7000,5000,6,2,6,2,0.75,0.75,0.75
3,7000,7000,6,1,7,2,0.8571428571428571,0.75,0.7999999999999999
3,7000,8000,5,0,8,3,1.0,0.625,0.7692307692307693
3,7000,9000,3,0,8,5,1.0,0.375,0.5454545454545454
3,8000,5000,5,1,7,3,0.8333333333333334,0.625,0.7142857142857143
3,8000,7000,5,0,8,3,1.0,0.625,0.7692307692307693
3,8000,8000,4,0,8,4,1.0,0.5,0.6666666666666666
3,8000,9000,2,0,8,6,1.0,0.25,0.4
3,9000,5000,3,0,8,5,1.0,0.375,0.5454545454545454
3,9000,7000,3,0,8,5,1.0,0.375,0.5454545454545454
3,9000,8000,2,0,8,6,1.0,0.25,0.4
3,9000,9000,1,0,8,7,1.0,0.125,0.2222222222222222
5,5000,5000,3,1,7,5,0.75,0.375,0.5
5,5000,7000,3,0,8,5,1.0,0.375,0.5454545454545454
5,5000,8000,2,0,8,6,1.0,0.25,0.4
5,5000,9000,2,0,8,6,1.0,0.25,0.4
5,7000,5000,3,1,7,5,0.75,0.375,0.5
5,7000,7000,3,0,8,5,1.0,0.375,0.5454545454545454
5,7000,8000,2,0,8,6,1.0,0.25,0.4
5,7000,9000,2,0,8,6,1.0,0.25,0.4
5,8000,5000,2,1,7,6,0.6666666666666666,0.25,0.36363636363636365
5,8000,7000,2,0,8,6,1.0,0.25,0.4
5,8000,8000,1,0,8,7,1.0,0.125,0.2222222222222222
5,8000,9000,1,0,8,7,1.0,0.125,0.2222222222222222
5,9000,5000,2,0,8,6,1.0,0.25,0.4
5,9000,7000,2,0,8,6,1.0,0.25,0.4
5,9000,8000,1,0,8,7,1.0,0.125,0.2222222222222222
5,9000,9000,1,0,8,7,1.0,0.125,0.2222222222222222
