occurrences,severity_bps,confidence_bps,true_quarantine_rate,false_quarantine_rate,missed_containment_rate,precision,recall,f1,quarantine_count,reject_count,true_positive,false_positive,true_negative,false_negative,dataset_id,dataset_count,policy_digest
1,5000,5000,1.0,0.625,0.0,0.6153846153846154,1.0,0.761904761904762,13,3,8,5,3,0,synthetic-risk-corpus-v1,16,sha256:201279d37fcc877d1ee0821f9dc7f83a48dfdf526f33954ac117dabb1e24cb74
1,5000,7000,1.0,0.375,0.0,0.7272727272727273,1.0,0.8421052631578948,11,5,8,3,5,0,synthetic-risk-corpus-v1,16,sha256:48c1604ae110bcb3f9350c7a2fc13db83b30587f2470ca6d9015d70afc0c1171
1,5000,8000,0.875,0.125,0.125,0.875,0.875,0.875,8,8,7,1,7,1,synthetic-risk-corpus-v1,16,sha256:c7f97d2adfd58da53019936788f23343cb7ebc2755c904ad2e15bbc36f9a299c
1,5000,9000,0.5,0.0,0.5,1.0,0.5,0.6666666666666666,4,12,4,0,8,4,synthetic-risk-corpus-v1,16,sha256:542f814b779a4b2dfa59b6f1173bb2956538429d3a79aa9a3aa40238036c41a3
1,7000,5000,1.0,0.375,0.0,0.7272727272727273,1.0,0.8421052631578948,11,5,8,3,5,0,synthetic-risk-corpus-v1,16,sha256:4c306114444ea7166c1763ab962fbf04b9d13a498b75aae445c47ca5fdf8bf7f
1,7000,7000,1.0,0.25,0.0,0.8,1.0,0.888888888888889,10,6,8,2,6,0,synthetic-risk-corpus-v1,16,sha256:1119ac847448227565c6309e6edf14e543f2b65c117bec8d342a81b472f978f9
1,7000,8000,0.875,0.0,0.125,1.0,0.875,0.9333333333333333,7,9,7,0,8,1,synthetic-risk-corpus-v1,16,sha256:efcd4438e8ee5b1abaec8f1bda8026d23a3dbb679c22e4dfb83563f033472c02
1,7000,9000,0.5,0.0,0.5,1.0,0.5,0.6666666666666666,4,12,4,0,8,4,synthetic-risk-corpus-v1,16,sha256:5096db2e86df2d2029a4074396af6ffd404242e4c3ba81f3861efc2bf6dfbba9
1,8000,5000,0.875,0.125,0.125,0.875,0.875,0.875,8,8,7,1,7,1,synthetic-risk-corpus-v1,16,sha256:3d5679b42f5b014a97cf751490cce22167ae444c90410c1d29d7fd904d1da56b
1,8000,7000,0.875,0.0,0.125,1.0,0.875,0.9333333333333333,7,9,7,0,8,1,synthetic-risk-corpus-v1,16,sha256:ecd076de92d521a9dd77e88f47120dbfc4072ea4e00a139f6b610389e9da5941
1,8000,8000,0.75,0.0,0.25,1.0,0.75,0.8571428571428571,6,10,6,0,8,2,synthetic-risk-corpus-v1,16,sha256:0f14e57ee6643af5851d6cb35e8187c97f4fc19d708e465bc41c7e580d3d891a
1,8000,9000,0.375,0.0,0.625,1.0,0.375,0.5454545454545454,3,13,3,0,8,5,synthetic-risk-corpus-v1,16,sha256:64a17c9cb37a9ae11deac05e732b1c21bdbd6bede1072e421aaa6947b1a6f313
1,9000,5000,0.5,0.0,0.5,1.0,0.5,0.6666666666666666,4,12,4,0,8,4,synthetic-risk-corpus-v1,16,sha256:329fd95cb157cd7aa567b75dbc5ed68ce86543a3a2d2cd986ceb6f4a05f853af
