baseline_id,credential_bytes,count,mean,median,stddev,p50,p95,p99,ci95_low,ci95_high,minimum,maximum
B0,1024,6000,94298.38566666667,88230.0,23895.379589344902,88230.0,133938.0,191141.0,93693.63823588556,94903.13309744778,72215.0,558026.0
B0,16384,6000,94044.88066666666,88254.5,22430.088355518477,88254.0,133914.0,193165.0,93477.21702045944,94612.54431287388,72199.0,391369.0
B0,2048,6000,94047.60083333333,88079.0,25044.35346001578,88077.0,132212.0,191758.0,93413.7750196906,94681.42664697606,71783.0,826065.0
B0,4096,6000,93919.58083333333,88297.0,21976.043908753138,88296.0,132333.0,186628.0,93363.40820410766,94475.75346255899,71423.0,393381.0
B0,8192,6000,93761.00666666667,88241.0,21237.44888112628,88241.0,130711.0,185428.0,93223.52649820209,94298.48683513125,71536.0,385915.0
B1,1024,6000,98960.0885,93577.5,24703.099276412893,93575.0,134671.0,198988.0,98334.89919242344,99585.27780757655,74227.0,618490.0
B1,16384,6000,399933.117,389060.0,59946.646308496,389060.0,499968.0,611828.0,398415.979337321,401450.25466267904,316373.0,1712396.0
B1,2048,6000,131840.19066666666,125374.0,29379.237118316316,125372.0,177526.0,256496.0,131096.65704339108,132583.72428994224,100664.0,682223.0
B1,4096,6000,165263.531,157768.5,33849.74323801071,157766.0,218575.0,294332.0,164406.85721588,166120.20478411997,128202.0,776866.0
B1,8192,6000,232807.3755,222942.0,43266.112875803046,222941.0,308597.0,403100.0,231712.39098620744,233902.36001379255,181886.0,948356.0
B2,1024,6000,76454.5975,71949.0,19629.772161464643,71942.0,106072.0,153707.0,75957.80462683897,76951.39037316103,56839.0,469423.0
B2,16384,6000,375047.82266666665,363316.0,62126.71820455912,363316.0,468884.0,581007.0,373475.51145576534,376620.13387756795,297471.0,1930374.0
B2,2048,6000,109466.9105,103263.0,25715.045849443788,103262.0,150618.0,217638.0,108816.11071455512,110117.71028544487,83285.0,561001.0
B2,4096,6000,142014.087,135530.5,33507.689493094345,135528.0,184206.0,251986.0,141166.06995734983,142862.10404265017,109719.0,1252271.0
B2,8192,6000,208823.73466666666,200637.5,42875.502639168655,200634.0,266756.0,365746.0,207738.63576846596,209908.83356486735,163240.0,1309657.0
B3,1024,6000,99234.71433333334,93161.0,27071.13832010737,93159.0,138862.0,199723.0,98549.59438007238,99919.8342865943,73925.0,593282.0
B3,16384,6000,399888.251,388570.5,62684.7402640839,388569.0,497347.0,623390.0,398301.8172929251,401474.6847070749,315189.0,1587872.0
B3,2048,6000,132528.75516666667,125022.0,32823.746610720984,125020.0,183521.0,255784.0,131698.04744104866,133359.46289228468,100620.0,837181.0
B3,4096,6000,164369.96133333334,157836.5,32034.848116098117,157834.0,212724.0,290567.0,163559.21915528015,165180.70351138653,127489.0,786209.0
B3,8192,6000,231296.535,222892.5,40732.76868472396,222888.0,296825.0,390925.0,230265.66469645096,232327.40530354905,180237.0,906576.0
B4,1024,6000,97562.92366666667,92338.5,22452.244837837847,92336.0,132354.0,193905.0,96994.69928127104,98131.1480520623,73161.0,489951.0
B4,16384,6000,397506.38433333335,385448.0,61762.734094833424,385446.0,497522.0,609495.0,395943.28488047834,399069.48378618836,316042.0,1370656.0
B4,2048,6000,130179.19266666667,123865.0,29794.402067317464,123864.0,169639.0,247100.0,129425.15199388724,130933.2333394461,100751.0,650512.0
B4,4096,6000,164289.94983333335,156235.5,36652.11612333868,156235.0,217314.0,309362.0,163362.3532251521,165217.5464415146,127937.0,921342.0
B4,8192,6000,231459.41333333333,222076.0,43223.525169030676,222056.0,304755.0,393746.0,230365.50663486306,232553.3200318036,181217.0,982981.0
B5,1024,6000,97902.58366666667,92245.0,24321.840230090107,92245.0,134848.0,198119.0,97287.04331351932,98518.12401981403,73140.0,519012.0
B5,16384,6000,397952.46516666666,387215.0,56384.26879830733,387211.0,496250.0,603423.0,396525.48462573177,399379.44570760155,317590.0,1118592.0
B5,2048,6000,130173.4475,123547.0,29056.30150660583,123544.0,174980.0,244398.0,129438.08677394748,130908.80822605251,100277.0,798452.0
B5,4096,6000,163636.85466666668,155987.0,36997.47998148489,155986.0,218667.0,300881.0,162700.51754423173,164573.19178910163,127075.0,1151222.0
B5,8192,6000,229804.17433333333,220840.0,44075.0767567582,220839.0,293514.0,397882.0,228688.7164545217,230919.63221214496,180849.0,1011414.0
B6,1024,6000,98488.6405,92777.5,25643.338227302487,92775.0,134966.0,189992.0,97839.65550055153,99137.62549944846,74371.0,686744.0
B6,16384,6000,399990.95033333334,387021.0,66373.40916582671,387007.0,502240.0,618336.0,398311.16330525384,401670.73736141284,319514.0,1645291.0
B6,2048,6000,130898.00116666667,123913.0,30057.263690843996,123912.0,177906.0,253499.0,130137.3079571119,131658.69437622142,101781.0,700339.0
B6,4096,6000,164427.43616666668,156346.5,35699.76705441575,156343.0,219779.0,309328.0,163523.9417348281,165330.93059850525,128451.0,786260.0
B6,8192,6000,230818.0735,221322.0,44861.96512220051,221319.0,299151.0,396833.0,229682.70094623903,231953.44605376097,182534.0,966030.0
