baseline_id,stage,mean_ns,share_percent,var_contrib_percent,correlation_with_total,p95_ns,p99_ns
B0,parse,7359.27,7.8278,8.5483,0.5469,11630.0,20745.0
B0,canonical,10726.86,11.4098,11.9091,0.5432,14804.0,23835.0
B0,digest,688.84,0.7327,0.7377,0.1491,803.0,1214.0
B0,identity,3271.52,3.4798,2.5638,0.3424,4174.0,5821.0
B0,credential,34249.17,36.4297,32.975,0.8024,47040.0,64306.0
B0,authorize,29.88,0.0318,0.0443,0.0453,40.0,88.0
B0,validate,16371.79,17.4142,20.1667,0.7642,25248.0,38866.0
B0,risk,27.15,0.0289,0.0324,0.3353,46.0,71.0
B0,prepare,10856.72,11.5479,12.4845,0.6675,15921.0,25578.0
B0,reconcile,25.78,0.0274,0.0239,0.4246,40.0,55.0
B0,commit,7040.98,7.4893,6.1195,0.4326,9099.0,15787.0
B0,audit,188.66,0.2007,0.1309,0.0691,296.0,403.0
B0,unattributed_or_orchestration_overhead,3177.67,3.38,0.0,0.0,3177.67,3177.67
B1,parse,7947.19,3.8623,0.4584,0.124,12401.0,20708.0
B1,canonical,11302.11,5.4928,0.4657,0.1296,15312.0,22537.0
B1,digest,705.07,0.3427,0.0749,0.0381,814.0,1293.0
B1,identity,3378.19,1.6418,0.1739,0.0852,4277.0,5759.0
B1,credential,141843.91,68.9363,95.4128,0.9897,350413.0,412359.0
B1,authorize,33.25,0.0162,0.0047,0.0261,47.0,109.0
B1,validate,17694.95,8.5998,1.6166,0.2649,27325.0,39604.0
B1,risk,31.61,0.0154,0.0033,0.0525,50.0,89.0
B1,prepare,11715.99,5.694,1.0331,0.2444,17843.0,26126.0
B1,reconcile,30.49,0.0148,0.0038,0.0263,43.0,58.0
B1,commit,7385.81,3.5895,0.3904,0.1398,9236.0,15678.0
B1,audit,198.44,0.0964,0.0084,0.025,324.0,435.0
B1,unattributed_or_orchestration_overhead,3493.85,1.698,0.0,0.0,3493.85,3493.85
B2,parse,8730.05,4.7872,0.586,0.1452,13723.0,21783.0
B2,canonical,10897.19,5.9756,0.533,0.114,15079.0,22099.0
B2,digest,685.87,0.3761,0.0209,0.0495,829.0,1256.0
B2,identity,3339.57,1.8313,0.1876,0.108,4245.0,5942.0
B2,credential,140858.56,77.2414,96.9094,0.9934,349726.0,415935.0
B2,authorize,30.49,0.0167,0.0053,0.0462,46.0,110.0
B2,validate,16956.59,9.2983,1.61,0.2561,26312.0,39345.0
B2,risk,29.02,0.0159,0.0036,0.095,48.0,91.0
B2,prepare,0.0,0.0,0.0,0.0,0.0,0.0
B2,reconcile,0.0,0.0,0.0,0.0,0.0,0.0
B2,commit,0.0,0.0,0.0,0.0,0.0,0.0
B2,audit,82.26,0.0451,0.0089,0.0488,156.0,260.0
B2,unattributed_or_orchestration_overhead,751.85,0.4123,0.0,0.0,751.85,751.85
B3,parse,7976.16,3.882,0.452,0.1162,12420.0,20628.0
B3,canonical,11239.81,5.4705,0.4756,0.1267,15234.0,22185.0
B3,digest,695.73,0.3386,0.0217,0.0366,823.0,1319.0
B3,identity,3382.83,1.6464,0.1528,0.093,4293.0,6061.0
B3,credential,141805.96,69.0175,95.3348,0.9885,350162.0,410036.0
B3,authorize,34.87,0.017,0.0049,0.0175,46.0,108.0
B3,validate,17604.28,8.5681,1.6897,0.2614,26744.0,39857.0
B3,risk,31.1,0.0151,0.0032,0.1503,50.0,93.0
B3,prepare,11697.96,5.6934,1.0015,0.2302,17623.0,26125.0
B3,reconcile,30.1,0.0147,0.0044,0.0491,43.0,60.0
B3,commit,7411.72,3.6073,0.4956,0.1123,9221.0,15485.0
