scenario,concurrency,failure_rate,attempts,successful_commits,successful_commit_rate,stale_conflict_rate,retry_count,invariant_violation_count,partial_publication_count,deadlock_count,timeout_count,terminal_resurrection_count,duplicate_success_count,unaudited_terminal_count,throughput_ops_s,p50_ns,p95_ns,p99_ns,starvation_indicator,rollback_success_rate,seed
same_target_multiple_reservations,1,0.0,1000,1000,1.0,0.0,0,0,0,0,0,0,0,0,80496.68385859934,1853,2161,5730,0,0.0,20260732
same_target_multiple_reservations,1,0.001,1000,1000,1.0,0.0,0,0,0,0,0,0,0,0,97948.30621385481,1784,1965,4692,0,0.0,20260733
same_target_multiple_reservations,1,0.01,1000,992,0.992,0.0,0,0,0,0,0,0,0,0,90963.73530580968,1996,2228,5737,0,1.0,20260734
same_target_multiple_reservations,1,0.05,1000,947,0.947,0.0,0,0,0,0,0,0,0,0,93208.75424038887,1838,2061,5444,0,1.0,20260735
same_target_multiple_reservations,1,0.1,1000,899,0.899,0.0,0,0,0,0,0,0,0,0,103446.74199659699,1725,1974,5142,0,1.0,20260736
same_target_multiple_reservations,4,0.0,1000,1000,1.0,0.0,0,0,0,0,0,0,0,0,88045.36731282894,1854,2199,6844,0,0.0,20260762
same_target_multiple_reservations,4,0.001,1000,1000,1.0,0.0,0,0,0,0,0,0,0,0,65203.01970828485,1869,5843,11939,0,0.0,20260763
same_target_multiple_reservations,4,0.01,1000,990,0.99,0.0,0,0,0,0,0,0,0,0,87772.5161081888,1866,2148,5962,0,1.0,20260764
same_target_multiple_reservations,4,0.05,1000,960,0.96,0.0,0,0,0,0,0,0,0,0,85244.45723493912,1930,2223,10837,0,1.0,20260765
same_target_multiple_reservations,4,0.1,1000,883,0.883,0.0,0,0,0,0,0,0,0,0,92125.90663368441,1865,2269,6500,0,1.0,20260766
same_target_multiple_reservations,16,0.0,1000,1000,1.0,0.0,0,0,0,0,0,0,0,0,65088.97500165074,1784,2127,12482,0,0.0,20260882
same_target_multiple_reservations,16,0.001,1000,996,0.996,0.0,0,0,0,0,0,0,0,0,68123.52921304862,1805,2953,13549,0,1.0,20260883
same_target_multiple_reservations,16,0.01,1000,993,0.993,0.0,0,0,0,0,0,0,0,0,66074.01796500379,1866,2797,11200,0,1.0,20260884
same_target_multiple_reservations,16,0.05,1000,960,0.96,0.0,0,0,0,0,0,0,0,0,63751.34324086929,1785,2669,13525,0,1.0,20260885
same_target_multiple_reservations,16,0.1,1000,910,0.91,0.0,0,0,0,0,0,0,0,0,73619.64454812382,1752,2580,12223,0,1.0,20260886
same_target_multiple_reservations,64,0.0,1000,1000,1.0,0.0,0,0,0,0,0,0,0,0,32778.8528148985,1816,8918,15155,0,0.0,20261362
same_target_multiple_reservations,64,0.001,1000,1000,1.0,0.0,0,0,0,0,0,0,0,0,36046.31085833339,1897,7878,14997,0,0.0,20261363
same_target_multiple_reservations,64,0.01,1000,991,0.991,0.0,0,0,0,0,0,0,0,0,36437.76269800271,1945,9531,15871,0,1.0,20261364
same_target_multiple_reservations,64,0.05,1000,945,0.945,0.0,0,0,0,0,0,0,0,0,38029.60551542097,1829,8314,15915,0,1.0,20261365
same_target_multiple_reservations,64,0.1,1000,893,0.893,0.0,0,0,0,0,0,0,0,0,36951.74146908281,1863,8384,14726,0,1.0,20261366
same_target_multiple_reservations,128,0.0,1000,1000,1.0,0.0,0,0,0,0,0,0,0,0,18626.322846115254,1951,13174,17667,0,0.0,20262002
same_target_multiple_reservations,128,0.001,1000,999,0.999,0.0,0,0,0,0,0,0,0,0,21833.992487011692,2016,13130,19446,0,1.0,20262003
same_target_multiple_reservations,128,0.01,1000,995,0.995,0.0,0,0,0,0,0,0,0,0,21072.206549757248,1992,14615,20222,0,1.0,20262004
same_target_multiple_reservations,128,0.05,1000,953,0.953,0.0,0,0,0,0,0,0,0,0,20418.74350810901,2085,14821,21099,0,1.0,20262005
same_target_multiple_reservations,128,0.1,1000,879,0.879,0.0,0,0,0,0,0,0,0,0,19227.26617077952,2087,13851,19855,0,1.0,20262006
same_target_multiple_reservations,256,0.0,1000,1000,1.0,0.0,0,0,0,0,0,0,0,0,10410.805274853814,2919,16328,22657,0,0.0,20263282
same_target_multiple_reservations,256,0.001,1000,998,0.998,0.0,0,0,0,0,0,0,0,0,12236.42151529866,2731,15317,20412,0,1.0,20263283
same_target_multiple_reservations,256,0.01,1000,992,0.992,0.0,0,0,0,0,0,0,0,0,12847.861140110626,2634,15151,21102,0,1.0,20263284
same_target_multiple_reservations,256,0.05,1000,956,0.956,0.0,0,0,0,0,0,0,0,0,12958.860955515016,2632,15464,23984,0,1.0,20263285
same_target_multiple_reservations,256,0.1,1000,891,0.891,0.0,0,0,0,0,0,0,0,0,13123.293102471778,2608,14667,16981,0,1.0,20263286
duplicate_execute,1,0.0,1000,500,0.5,0.5,500,0,0,0,0,0,0,0,95213.39416283011,1704,2097,5145,0,0.0,20261732
duplicate_execute,1,0.001,1000,500,0.5,0.5,500,0,0,0,0,0,0,0,97563.62172529842,1628,3002,5818,0,0.0,20261733
duplicate_execute,1,0.01,1000,500,0.5,0.492,492,0,0,0,0,0,0,0,86043.90269689023,1688,2110,3489,0,1.0,20261734
duplicate_execute,1,0.05,1000,500,0.5,0.462,462,0,0,0,0,0,0,0,74851.02213916877,2123,2694,7975,0,1.0,20261735
duplicate_execute,1,0.1,1000,496,0.496,0.398,398,0,0,0,0,0,0,0,95141.25050605406,1981,2260,6416,0,1.0,20261736
duplicate_execute,4,0.0,1000,500,0.5,0.5,500,0,0,0,0,0,0,0,89786.7000218205,1807,2169,7517,0,0.0,20261762
duplicate_execute,4,0.001,1000,500,0.5,0.498,498,0,0,0,0,0,0,0,93694.70255772537,1757,2127,7287,0,1.0,20261763
duplicate_execute,4,0.01,1000,500,0.5,0.49,490,0,0,0,0,0,0,0,76199.18466868886,1955,2682,8609,0,1.0,20261764
duplicate_execute,4,0.05,1000,496,0.496,0.448,448,0,0,0,0,0,0,0,79586.75373966963,1919,2336,5732,0,1.0,20261765
duplicate_execute,4,0.1,1000,491,0.491,0.401,401,0,0,0,0,0,0,0,73612.95705808386,944,2158,4577,0,1.0,20261766
duplicate_execute,16,0.0,1000,500,0.5,0.5,500,0,0,0,0,0,0,0,66496.28102920683,1718,2552,10796,0,0.0,20261882
