group,attack,mean_asr,mean_brr,runs
agent_boundary,agent_over_amount_policy,0.0,1.0,30
agent_boundary,expired_delegation,0.0,1.0,30
agent_boundary,human_confirmation_bypass,0.0,1.0,30
agent_boundary,quarantine_release_attempt,0.0,1.0,30
agent_boundary,threshold_bypass_attempt,0.0,1.0,30
agent_boundary,unauthorized_adapter_invocation,0.0,1.0,30
agent_boundary,wrong_policy_type,0.0,1.0,30
credential,changed_amount,0.0,1.0,30
credential,changed_expiry,0.0,1.0,30
credential,changed_target,0.0,1.0,30
credential,duplicate_role,0.0,1.0,30
credential,expired_credential,0.0,1.0,30
credential,missing_required_role,0.0,1.0,30
credential,mutual_exclusion_violation,0.0,1.0,30
credential,revoked_key,0.0,1.0,30
credential,signature_forgery,0.0,1.0,30
credential,stale_did_document,0.0,1.0,30
credential,wrong_approval_order,0.0,1.0,30
credential,wrong_key_id,0.0,1.0,30
credential,wrong_role,0.0,1.0,30
policy,action_expansion,0.0,1.0,30
policy,amount_expansion,0.0,1.0,30
policy,digest_mismatch,0.0,1.0,30
policy,duration_expansion,0.0,1.0,30
policy,privilege_expansion,0.0,1.0,30
policy,schema_downgrade,0.0,1.0,30
policy,threshold_downgrade,0.0,1.0,30
policy,unknown_critical_field,0.0,1.0,30
public_commitment,commit_expiry,0.0,1.0,30
public_commitment,target_hash_enumeration,0.0,1.0,30
replay,cross_adapter_replay,0.0,1.0,30
replay,cross_domain_replay,0.0,1.0,30
replay,cross_resource_replay,0.0,1.0,30
replay,nonce_reuse,0.0,1.0,30
replay,policy_digest_reuse,0.0,1.0,30
replay,same_domain_replay,0.0,1.0,30
state_adapter,audit_suppression,0.0,1.0,30
state_adapter,capability_misdeclaration,0.0,1.0,30
state_adapter,commit_race,0.0,1.0,30
state_adapter,duplicate_command,0.0,1.0,30
state_adapter,expiry_race,0.0,1.0,30
state_adapter,partial_commit_attempt,0.0,1.0,30
state_adapter,revocation_race,0.0,1.0,30
state_adapter,stale_snapshot,0.0,1.0,30
