case_id,mode,kind,numeric_exact_match,unit_accuracy,sign_accuracy,relative_change_accuracy,numeric_hallucination_acceptance,diagnosis
NUM-000,N0_FREE_SLM_NUMERIC_RENDER,currency,0,0,0,0,1,slm_numeric_generation_error
NUM-000,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-001,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-001,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-002,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-002,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-003,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-003,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-004,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-004,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-005,N0_FREE_SLM_NUMERIC_RENDER,integer,0,0,0,0,1,slm_numeric_generation_error
NUM-005,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-006,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-006,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-007,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-007,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-008,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-008,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-009,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-009,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-010,N0_FREE_SLM_NUMERIC_RENDER,signed_change,0,0,0,0,1,slm_numeric_generation_error
NUM-010,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-011,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-011,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-012,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-012,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-013,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-013,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-014,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-014,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-015,N0_FREE_SLM_NUMERIC_RENDER,yoy,0,0,0,0,1,slm_numeric_generation_error
NUM-015,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-016,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-016,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-017,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-017,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-018,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-018,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-019,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-019,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-020,N0_FREE_SLM_NUMERIC_RENDER,currency,0,0,0,0,1,slm_numeric_generation_error
NUM-020,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-021,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-021,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-022,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-022,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-023,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-023,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-024,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-024,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-025,N0_FREE_SLM_NUMERIC_RENDER,integer,0,0,0,0,1,slm_numeric_generation_error
NUM-025,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-026,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-026,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-027,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-027,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-028,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-028,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-029,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-029,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-030,N0_FREE_SLM_NUMERIC_RENDER,signed_change,0,0,0,0,1,slm_numeric_generation_error
NUM-030,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-031,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-031,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-032,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-032,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-033,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-033,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-034,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-034,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-035,N0_FREE_SLM_NUMERIC_RENDER,yoy,0,0,0,0,1,slm_numeric_generation_error
NUM-035,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-036,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-036,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-037,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-037,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-038,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-038,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-039,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-039,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-040,N0_FREE_SLM_NUMERIC_RENDER,currency,0,0,0,0,1,slm_numeric_generation_error
NUM-040,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-041,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-041,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-042,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-042,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-043,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-043,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-044,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-044,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-045,N0_FREE_SLM_NUMERIC_RENDER,integer,0,0,0,0,1,slm_numeric_generation_error
NUM-045,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-046,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-046,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-047,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-047,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-048,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-048,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-049,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-049,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-050,N0_FREE_SLM_NUMERIC_RENDER,signed_change,0,0,0,0,1,slm_numeric_generation_error
NUM-050,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-051,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-051,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-052,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-052,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-053,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-053,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-054,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-054,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-055,N0_FREE_SLM_NUMERIC_RENDER,yoy,0,0,0,0,1,slm_numeric_generation_error
NUM-055,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-056,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-056,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-057,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-057,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-058,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-058,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-059,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-059,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-060,N0_FREE_SLM_NUMERIC_RENDER,currency,0,0,0,0,1,slm_numeric_generation_error
NUM-060,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-061,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-061,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-062,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-062,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-063,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-063,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-064,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-064,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-065,N0_FREE_SLM_NUMERIC_RENDER,integer,0,0,0,0,1,slm_numeric_generation_error
NUM-065,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-066,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-066,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-067,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-067,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-068,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-068,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-069,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-069,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-070,N0_FREE_SLM_NUMERIC_RENDER,signed_change,0,0,0,0,1,slm_numeric_generation_error
NUM-070,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-071,N0_FREE_SLM_NUMERIC_RENDER,yoy,1,1,1,1,0,none
NUM-071,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
NUM-072,N0_FREE_SLM_NUMERIC_RENDER,currency,1,1,1,1,0,none
NUM-072,N1_VERIFIED_NUMERIC_SLOT_BINDING,currency,1,1,1,1,0,none
NUM-073,N0_FREE_SLM_NUMERIC_RENDER,integer,1,1,1,1,0,none
NUM-073,N1_VERIFIED_NUMERIC_SLOT_BINDING,integer,1,1,1,1,0,none
NUM-074,N0_FREE_SLM_NUMERIC_RENDER,signed_change,1,1,1,1,0,none
NUM-074,N1_VERIFIED_NUMERIC_SLOT_BINDING,signed_change,1,1,1,1,0,none
NUM-075,N0_FREE_SLM_NUMERIC_RENDER,yoy,0,0,0,0,1,slm_numeric_generation_error
NUM-075,N1_VERIFIED_NUMERIC_SLOT_BINDING,yoy,1,1,1,1,0,none
