split,language,error_type,count
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,ko,INTENT_UNSEEN,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,ko,ACTION_SYNONYM_UNSEEN,49
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,ko,TARGET_EXTRACTION_FAILURE,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,ko,ENTITY_ALIAS_FAILURE,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,ko,ATTRIBUTE_SYNONYM_FAILURE,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,ko,TEMPORAL_SCOPE_FAILURE,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,ko,CONDITION_ORDER_FAILURE,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,ko,NEGATION_FAILURE,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,ko,EXCEPTION_SCOPE_FAILURE,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,ko,COORDINATION_FAILURE,10
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,ko,CODE_SWITCH_FAILURE,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,ko,MORPHOLOGY_FAILURE_KO,26
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,ko,PREPOSITION_FAILURE_EN,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,ko,UNSUPPORTED_SURFACE_FORM,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,ko,AMBIGUOUS_INPUT,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,ko,SECURITY_REJECT_EXPECTED,10
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,en,INTENT_UNSEEN,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,en,ACTION_SYNONYM_UNSEEN,57
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,en,TARGET_EXTRACTION_FAILURE,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,en,ENTITY_ALIAS_FAILURE,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,en,ATTRIBUTE_SYNONYM_FAILURE,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,en,TEMPORAL_SCOPE_FAILURE,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,en,CONDITION_ORDER_FAILURE,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,en,NEGATION_FAILURE,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,en,EXCEPTION_SCOPE_FAILURE,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,en,COORDINATION_FAILURE,28
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,en,CODE_SWITCH_FAILURE,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,en,MORPHOLOGY_FAILURE_KO,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,en,PREPOSITION_FAILURE_EN,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,en,UNSUPPORTED_SURFACE_FORM,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,en,AMBIGUOUS_INPUT,0
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,en,SECURITY_REJECT_EXPECTED,10
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,ko,INTENT_UNSEEN,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,ko,ACTION_SYNONYM_UNSEEN,50
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,ko,TARGET_EXTRACTION_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,ko,ENTITY_ALIAS_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,ko,ATTRIBUTE_SYNONYM_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,ko,TEMPORAL_SCOPE_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,ko,CONDITION_ORDER_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,ko,NEGATION_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,ko,EXCEPTION_SCOPE_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,ko,COORDINATION_FAILURE,10
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,ko,CODE_SWITCH_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,ko,MORPHOLOGY_FAILURE_KO,25
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,ko,PREPOSITION_FAILURE_EN,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,ko,UNSUPPORTED_SURFACE_FORM,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,ko,AMBIGUOUS_INPUT,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,ko,SECURITY_REJECT_EXPECTED,10
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,INTENT_UNSEEN,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,ACTION_SYNONYM_UNSEEN,56
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,TARGET_EXTRACTION_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,ENTITY_ALIAS_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,ATTRIBUTE_SYNONYM_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,TEMPORAL_SCOPE_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,CONDITION_ORDER_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,NEGATION_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,EXCEPTION_SCOPE_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,COORDINATION_FAILURE,29
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,CODE_SWITCH_FAILURE,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,MORPHOLOGY_FAILURE_KO,0
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,PREPOSITION_FAILURE_EN,0
