pipeline,metric,runs,mean,variance,minimum,maximum
B0_DIRECT_SLM,claim_precision,5,0.27999999999999997,0.0005999999999999997,0.25,0.3
B0_DIRECT_SLM,unsupported_claim_rate,5,0.45999999999999996,0.004400000000000003,0.35,0.55
B0_DIRECT_SLM,latency_us,5,1129250.25,21121275189.191,972348.6,1399502.05
B0_DIRECT_SLM,validator_rejection_rate,5,0.0,0.0,0.0,0.0
B4_UIR_POLICY_SLM,claim_precision,5,0.35,0.0,0.35,0.35
B4_UIR_POLICY_SLM,unsupported_claim_rate,5,0.12,0.0005999999999999997,0.1,0.15
B4_UIR_POLICY_SLM,latency_us,5,362063.82999999996,111035208.8745999,348024.7,373987.25
B4_UIR_POLICY_SLM,validator_rejection_rate,5,0.0,0.0,0.0,0.0
B5_FULL_UIR_OUTPUT_VALIDATION,claim_precision,5,0.35,0.0,0.35,0.35
B5_FULL_UIR_OUTPUT_VALIDATION,unsupported_claim_rate,5,0.12,0.0005999999999999997,0.1,0.15
B5_FULL_UIR_OUTPUT_VALIDATION,latency_us,5,362072.5,111031217.86300011,348033.3,373995.05
B5_FULL_UIR_OUTPUT_VALIDATION,validator_rejection_rate,5,0.15,0.0,0.15,0.15
