split,language,cases,semantic_match,policy_accuracy,outcome_accuracy
G1_TEMPLATE_SEEN_ENTITY_UNSEEN,ko,100,0.77,0.89,0.89
G1_TEMPLATE_SEEN_ENTITY_UNSEEN,en,100,0.85,0.95,0.95
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,ko,100,0.05,0.35,0.35
G2_TEMPLATE_UNSEEN_ENTITY_SEEN,en,100,0.05,0.35,0.35
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,ko,100,0.05,0.35,0.35
G3_TEMPLATE_UNSEEN_ENTITY_UNSEEN,en,100,0.05,0.35,0.35
G4_LEXICAL_UNSEEN,ko,100,0.05,0.35,0.35
G4_LEXICAL_UNSEEN,en,100,0.05,0.35,0.35
G5_STRUCTURAL_UNSEEN,ko,100,0.9,1.0,1.0
G5_STRUCTURAL_UNSEEN,en,100,0.9,1.0,1.0
