pipeline,numeric_type,cases,numeric_exact_match,unit_accuracy,sign_accuracy,relative_change_accuracy
B0_DIRECT_SLM,currency,25,0.0,0.0,0.0,0.0
B0_DIRECT_SLM,decimal,25,0.0,0.0,0.0,0.0
B0_DIRECT_SLM,integer,25,0.0,0.0,0.0,0.0
B0_DIRECT_SLM,multiple_numbers,25,0.0,0.0,0.0,0.0
B0_DIRECT_SLM,percentage,25,0.0,0.0,0.0,0.0
B0_DIRECT_SLM,ratio,25,0.0,0.0,0.0,0.0
B0_DIRECT_SLM,signed_change,25,0.0,0.0,0.0,0.0
B0_DIRECT_SLM,year_over_year_delta,25,0.0,0.0,0.0,0.0
B1_SLM_WITH_PROMPT_GUARD,currency,25,0.0,0.0,0.0,0.0
B1_SLM_WITH_PROMPT_GUARD,decimal,25,0.0,0.0,0.0,0.0
B1_SLM_WITH_PROMPT_GUARD,integer,25,0.0,0.0,0.0,0.0
B1_SLM_WITH_PROMPT_GUARD,multiple_numbers,25,0.0,0.0,0.0,0.0
B1_SLM_WITH_PROMPT_GUARD,percentage,25,0.0,0.0,0.0,0.0
B1_SLM_WITH_PROMPT_GUARD,ratio,25,0.0,0.0,0.0,0.0
B1_SLM_WITH_PROMPT_GUARD,signed_change,25,0.0,0.0,0.0,0.0
B1_SLM_WITH_PROMPT_GUARD,year_over_year_delta,25,0.0,0.0,0.0,0.0
B2_NAIVE_RAG_SLM,currency,25,0.0,0.0,0.0,0.0
B2_NAIVE_RAG_SLM,decimal,25,0.0,0.32,0.0,0.32
B2_NAIVE_RAG_SLM,integer,25,0.0,0.32,0.0,0.32
B2_NAIVE_RAG_SLM,multiple_numbers,25,0.0,0.32,0.0,0.32
B2_NAIVE_RAG_SLM,percentage,25,0.12,0.32,0.12,0.32
B2_NAIVE_RAG_SLM,ratio,25,0.32,0.88,0.32,0.88
B2_NAIVE_RAG_SLM,signed_change,25,0.0,0.0,0.0,0.0
B2_NAIVE_RAG_SLM,year_over_year_delta,25,0.0,0.0,0.0,0.0
B3_RAG_WITH_ENTITY_VALIDATION,currency,25,0.0,0.0,0.0,0.0
B3_RAG_WITH_ENTITY_VALIDATION,decimal,25,0.0,0.12,0.0,0.12
B3_RAG_WITH_ENTITY_VALIDATION,integer,25,0.0,0.12,0.0,0.12
B3_RAG_WITH_ENTITY_VALIDATION,multiple_numbers,25,0.0,0.2,0.0,0.2
B3_RAG_WITH_ENTITY_VALIDATION,percentage,25,0.12,0.12,0.12,0.12
B3_RAG_WITH_ENTITY_VALIDATION,ratio,25,0.68,0.76,0.68,0.76
B3_RAG_WITH_ENTITY_VALIDATION,signed_change,25,0.0,0.0,0.0,0.0
B3_RAG_WITH_ENTITY_VALIDATION,year_over_year_delta,25,0.0,0.0,0.0,0.0
B4_UIR_POLICY_SLM,currency,25,0.0,0.2,0.0,0.2
B4_UIR_POLICY_SLM,decimal,25,0.0,0.44,0.0,0.44
B4_UIR_POLICY_SLM,integer,25,0.0,0.2,0.0,0.2
B4_UIR_POLICY_SLM,multiple_numbers,25,0.0,0.4,0.0,0.4
B4_UIR_POLICY_SLM,percentage,25,0.0,0.0,0.0,0.0
B4_UIR_POLICY_SLM,ratio,25,0.56,0.56,0.56,0.56
B4_UIR_POLICY_SLM,signed_change,25,0.0,0.0,0.0,0.0
B4_UIR_POLICY_SLM,year_over_year_delta,25,0.0,0.0,0.0,0.0
B5_FULL_UIR_OUTPUT_VALIDATION,currency,25,0.0,0.2,0.0,0.2
B5_FULL_UIR_OUTPUT_VALIDATION,decimal,25,0.0,0.44,0.0,0.44
B5_FULL_UIR_OUTPUT_VALIDATION,integer,25,0.0,0.2,0.0,0.2
B5_FULL_UIR_OUTPUT_VALIDATION,multiple_numbers,25,0.0,0.4,0.0,0.4
B5_FULL_UIR_OUTPUT_VALIDATION,percentage,25,0.0,0.0,0.0,0.0
B5_FULL_UIR_OUTPUT_VALIDATION,ratio,25,0.56,0.56,0.56,0.56
B5_FULL_UIR_OUTPUT_VALIDATION,signed_change,25,0.0,0.0,0.0,0.0
B5_FULL_UIR_OUTPUT_VALIDATION,year_over_year_delta,25,0.0,0.0,0.0,0.0
